1;Afeldstrasse 1;110.10;2;2;HashMax AG;rBejQTwb
2;Befeldstrasse 2;120.20;4;4;BeCutter GmbH;urPCGvNf
3;Cefeldstrasse 3;130.30;6;6;Groomic and Partner;3mrU4SjX
4;Defeldstrasse 4;140.40;8;8;Angry Arnie ;TreEveqD
5;EfeldStasse 5;150.50;10;10;Luyken Groceries;QeN9mb7U
6;Feldstrasse 6;160.60;12;10;Gesichtsbuch AG;Xahc2AzQ
7;Gefeldstrasse 7;110.70;14;10;Googlehupf AG;pTYXvnf8
8;Hafeldstrasse 8;180.80;16;10;Winzigweich GmbH;E5BNkhVv
9;Ifeldstrasse 9;190.90;18;10;Banana Inc.;Vk7vGmvu
10;JotFeldstrasse 10;201.00;50;10;Orakel Weichware;jrAMsj29
